|text|labels
201|what is eagle 's syndrome styloid process|0
202|how did jayne mansfield die|0
203|when did royal wedding prince andrew fergie take place|4
204|what actor said day at races either he 's dead or my watch has stopped|3
205|what explorer was nicknamed iberia 's pilot|3
206|cnn began broadcasting what year|4
207|what is ball hits foul pole called|1
208|what makes hamburgers taste like steakburgers|0
209|company created internet browser mosaic|3
210|what are rites accompanying circumcision newly born child judaism called|1
211|what was education system 1960 's|1
212|what south american city has world 's highest commercial landing field|5
213|how can find out cities have cable modem access|0
214|what is betsy ross famous|0
215|how many species sharks are there|4
216|what is snoogans|0
217|how many people are there world|4
218|what shrubs can be planted will be safe deer|1
219|what organization 's offices were broken into at watergate 1972|3
220|what is design ship titanic|0
221|what does s.o.s. stand|2
222|name technique widely used detect birth defects|1
223|what is daily requirement folic acid expectant mother|0
224|what is minute cigarette|0
225|what four forms does gold occur|1
226|what is acreage chappellet vineyard|4
227|how do you correctly say word qigong|0
228|when did beethoven die|4
229|how much does new railroad coal car cost|4
230|what two european countries entered war american independence against british|5
231|what is filmmakers collabrative|0
232|what russian composer 's prelude sharp minor brought him fame fortune|3
233|what caused harry houdini 's death|0
234|who was mother man who would not be king duke windsor|3
235|how many revolutions does standard lp make three minutes|4
236|what is name tallest mountain world|5
237|where can find review nightmare elm street film journal|5
238|what 's slowest olympic swimming stroke|1
239|what was name first russian astronaut do spacewalk|3
240|what disease is transmitted anopheles mosquito|1
241|what rum is so mixable it is one brand bar|1
242|how many south american countries have letter their names|4
243|what is contents proposition 98|0
244|where was george washington born|5
245|how many people ground were killed bombing pan am flight 103 over lockerbie scotland december 21 cd|4
246|who wrote nn dt nnp nnp|3
247|what is paracetamol|0
248|what are powers weaknesses green lantern 's ring|0
249|mosquito 's bite draws blood dt nn cc dt nn|1
250|when was first steel mill united states built|4
251|what diminutive american female gymnast stole show at 1984 olympics|3
252|what is origin name katie|0
253|what schools washington dc nn nn vbp nn nn nn nn|3
254|when did berlin wall go up|4
255|who is terrence malick|3
256|what instrument is ray charles best known playing|1
257|what 's meaning latin battle cry ad arma ad arma|0
258|what is mascot notre dame university|1
259|what las vegas hotel burned november 1980 loss 84 lives|5
260|when did mount st. helen last have significant eruption|4
261|cnn is abbreviation what|2
262|when did world war start|4
263|how many feet are there fathom|4
264|what is canada two penny black|0
265|what european city do nicois live|5
266|how can find out what year beanie baby was introduced|0
267|what is classic definition tragic hero|0
268|what does microsoft 's windows owe its success|1
269|who was president afghanistan 1994|3
270|what are other ways getting stretch marks besides pregnancy weight loss weight lifting|1
271|what did brontosauruses eat|1
272|what color bottles do good rhine wines come|1
273|who was lead actress movie sleepless seattle|3
274|who was 16th president united states|3
275|who are two sons ozzie harriet nelson|3
276|what is molybdenum|0
277|when is boxing day|4
278|what is lowest level american judiciary|1
279|when was battle somme fought|4
280|how many people did randy craft kill|4
281|what 's official animal canada|1
282|when did spielberg direct jaws|4
283|what is size largest akita|4
284|what animal has biggest eyes|1
285|what is california 's capital|5
286|who was author book about computer hackers called cuckoo 's egg tracking spy through maze computer espionage|3
287|who was founding member pink floyd band|3
288|what european country is home beer producing city budweis|5
289|how do find balance my social security account|0
290|what is history valentine 's day cards|0
291|where was christopher columbus born|5
292|what do italians call florence|1
293|how do you get top eiffel tower|0
294|what does psi stand|2
295|what sea did romans call mare nostrum|5
296|what 's term bet before cards are dealt|1
297|came first according genesis 22 chicken or egg|1
298|what city did flintstones live|5
299|what is latin incompetent|1
300|what chemicals are used lethal injection|1
301|what toy company is world 's no.1 maker female apparel|3
302|what board game does wood pusher play poorly|1
303|doonesbury character was likely turn into werewolf|3
304|what is abbreviation micro|2
305|what are articles constitution|1
306|who has won most super bowls|3
307|what does nasdaq stand|2
308|what is bph|2
309|what is fastest commercial automobile can be bought us|1
310|what stadium do miami dolphins play their home games|5
311|who has only speaking role silent movie|3
312|why is poop sometimes different colors|0
313|what was einstein 's iq|4
314|what day was pearl harbor attacked 1942|4
315|what girl 's name is teddy affectionate form|3
316|what state is john f. kennedy buried|5
317|what is best way remove wallpaper|1
318|what u.s. state has element named it|5
319|what company tabulates ballots voting academy awards|3
320|how did tradition best man start|0
321|how many years ago did ship titanic sink|4
322|what is deepest area arctic ocean|5
323|what are halloween 's colors|1
324|how is silk screening done|0
325|what is latitude longitude el paso texas|4
326|who made boat out gopher wood|3
327|where can find fifth element screensaver|5
328|bloom county resident wreaks havoc computer|3
329|how do you match name social security number|0
330|how does rainbow form|0
331|what is normal resting heart rate healthy adult|4
332|what is population ohio|4
333|how many calories are there big mac|4
334|hazmat stands what|0
335|what creature scares people film jaws|1
336|what part did john peter zenger play deveopment newspaper america|3
337|who followed caesar|3
338|what are four elements|1
339|who was first woman golfer earn million|3
340|what 's tallest piece chessboard|1
341|what is answers.com 's address|5
342|where can buy movies videotape online|5
343|who does advertizing frito lay|3
344|who is leading competitor trans union company|3
345|what product did robert conrad dare people knock off his shoulder|1
346|who invented radio|3
347|what 's american dollar equivalent pounds u.k.|4
348|what are different approaches systems analysis|1
349|how do doctors diagnose bone cancer|0
350|who is man behind pig man who pulls strings speaks miss piggy|3
351|what is speed mississippi river|4
352|what are developmental stages swimmer|1
353|what actor first portrayed james bond|3
354|what ocean is largest world|5
355|who was first american poet win nobel prize literature 1948|3
356|what year did jack nicklaus join professional golfers association tour|4
357|how many sonnets did shakespeare write|4
358|what causes redness your cheeks when you blush|0
359|who won nobel peace prize 1991|3
360|who are challengers unknown|3
361|define pheonix club|0
362|city did christian crusaders fight recapture muslims|5
363|what does it mean rupee depreciates|0
364|what gaming devices were dubbed mississippi marbles memphis dominoes|1
365|who was first coach cleveland browns|3
366|how successful is arometherapy|0
367|what jewish holiday saw start 1973 mideast war|1
368|how does copier work|0
369|what is speed mississippi river|4
370|who said super bowl iii 1969 we 'll win guarantee it|3
371|what is dudley do right 's horse 's name|1
372|who declared am down whores shan 't stop ripping them|3
373|where does chocolate come|5
374|what tv game show once saw contestant admit picking his toes shower|1
375|what soviet leader owned rolls royce|3
376|where can find case individuals disabilities education act 1991|5
377|what war did florence nightingale tend troops|1
378|who wrote song stardust|3
379|how many beatles records went|4
380|who is only prime minister canada serve 22 years but not necessarily consecutively|3
381|what is abbreviation company name general motors|2
382|what mountains lie between arkansas missouri rivers|5
383|who received will rogers award 1989|3
384|what is function ram|0
385|what 's closest g2 spectrum yellow dwarf earth|5
386|how many equal angles are there isosceles triangle|4
387|what is fear cockroaches called|1
388|what cbs soap opera was interrupted bulletin john f. kennedy 's assassination|1
389|what is use 24 hour clock instead 12 hour clock|0
390|what was name lawyer who represented randy craft|3
391|what united states president had dreamed he was assassinated|3
392|what film did lee marvin win 1965 best actor oscar|1
393|where is basque country located|5
394|what product does mrs. olsen promote|1
395|what time day did emperor hirohito die|4
396|what is dry ice|0
397|what 's most powerful card euchre|1
398|what does intractable plantar keratoma mean|0
399|how many years did it take james joyce write ulysses|4
400|what crop failure caused irish famine|1
401|what south korean city is served kimpo international airport|5
402|how many types dogs tails are there three|4
403|what is longest running television series|1
404|what predators exist antarctica|1
405|what is difference between generator alternator|0
406|how is energy created|0
407|what beer advertised it had three rings|1
408|what is quantity american soldiers still unaccounted vietnam war|4
409|what golfing accessory was patented george grant december 12|1
410|what are different types plastic|1
411|how is it correct say qigong|0
412|what was highest mountain earth before mount everest was discovered|5
413|where was ligurian republic 1797 185|5
414|what country 's people are top television watchers|5
415|when was women 's suffrage amendment ratified|4
416|what polynesian people inhabit new zealand|3
417|what movie tour roman empire features admonition row well live|1
418|what nevada center has been dubbed biggest little city world|5
419|what president lived at 219 north delaware street independence missouri|3
420|give reason american indians oftentimes dropping out school|0
421|where must soccer goalie stand be permitted handle ball|5
422|what is difference between classical conditioning operant conditioning|0
423|what u.s. state was first woman governor elected|5
424|what are some interesting facts information about dogsledding|0
425|what year did hitler die|4
426|what famous model was married billy joel|3
427|what kind animal is babar|1
428|what is jane goodall known|0
429|what killed bob marley|1
430|how much money are dumbo 's ears insured|4
431|who danced into stardom fred astaire 1941 's you 'll never get rich|3
432|who is stein eriksen|3
433|what does name billie mean|0
434|who is fastest swimmer world|3
435|what is highest peak africa|5
436|where is procter gamble headquartered u.s.|5
437|what desert has been called garden allah|5
438|what do bicornate animals have two|1
439|what function does community 's water tower serve|0
440|what is fear weakness|1
441|how many miles is it ohio north carolina|4
442|how much snow equals inch rain|4
443|what does g.m.t. stand|2
444|what does inuit eskimo mean|0
445|what song served as closing theme johnny cash show|1
446|what field sport did dentist william beers promote write standard book rules|1
447|how do tie dye clothes|0
448|when does average teenager first have intercourse|4
449|why doesn 't www.answers.com have any answers my questions|0
450|what actor 's autobiography is titled all my yesterdays|3
451|what russian master spy lived u.s. under name emil goldfus|3
452|where 's 19th hole golf course|5
453|what 's nature 's purpose tornadoes|0
454|who played original charlie 's angels|3
455|where can find person 's address telephone number|5
456|what english word comes old french covrefeu meaning cover fire|1
457|what musical instrument did prewitt play james jones 's here eternity|1
458|where did sarge steel get his metal hand|5
459|what makes popcorn pop|0
460|who wrote night iguana|3
461|where does your hair grow fastest|1
462|what country did king gustav reign over 197 195|5
463|who painted mother child|3
464|what is speed mississippi river|4
465|what area world was six day war fought|5
466|what is brightest star visible earth|5
467|what film marked robert redford 's directorial debut|1
468|what was mao 's second name|3
469|what film or films has jude law appeared|1
470|where do hyenas live|5
471|who is queen mother|3
472|what 's most commonly spoken language belgium|1
473|who has more dna man or woman|3
474|what are maid rites|0
475|what children 's tale contains line come cinderslut hold this skein wool me|1
476|what level government or governmental agency is responsible dealing racism|3
477|how many referees work soccer game|4
478|what cocktail do you concoct whisky sweet vermouth|1
479|how do you say fresh spanish|1
480|what do bee hives do cranberry bogs|0
481|what caused lynmouth floods|0
482|when is tulip festival michigan|4
483|who came up name el nino|3
484|what movie did madilyn kahn star gene wilder|1
485|what type bridge is golden gate bridge|1
486|what dictator has nickname el maximo|3
487|what stereo manufacturer is slightly ahead its time|3
488|what u.s. city is queen pacific|5
489|what tv sitcom character had maiden name ethel potter|3
490|what was first lifesaver flavor|1
491|who kept most famous diary english language|3
492|where can find out top singles|5
493|how many degrees cooler is inside cucumber than air outside|4
494|what spanish artist painted crucifixion|3
495|what is jewish bible called|1
496|why is grass green|0
497|what is firewall|0
498|what spy novelist served as moscow correspondent reuter times london|3
499|oil company almost picked word meant stalled car japanese as its new international name|3
500|how long does it take spider man 's web evaporate|4
501|who was randy steven craft 's lawyer|3
502|what was known as spice island|5
503|who was first host person person|3
504|name ranger who was always after yogi bear|3
505|what deck cards includes wheel fortune lovers death|1
506|what does statue liberty wear her feet|1
507|who is superstar rent cars|3
508|mccarren airport is located what city|5
509|what household facility contains float ball ballcock overflow tube|1
510|what was name betty boop 's dog|1
511|what fraction beaver 's life is spent swimming|4
512|what was bridge san luis rey made|1
513|what do economists do|0
514|what country has largest sheep population|5
515|what do need do take my dog me live dominica west indies year|0
516|what country is world 's largest importer cognac|5
517|how many years is johnnie walker black label aged|4
518|what does sids stand|2
519|what is grenada 's main commodity export|1
520|how much would black white cent stamp be worth thomas jefferson it|4
521|what makes clitoris sensitive|0
522|what country has most time zones 11|5
523|what magic does mandrake employ|1
524|who is president stanford university|3
525|whose first presidential order was let 's get this goddamn thing airborne|3
526|what was introduced commercially bayer a.g. leverkusen 1899|1
527|what city is logan airport|5
528|what is nanometer|0
529|how many innings are there regulation softball game|4
530|when did cnn go air|4
531|what is largest city great lakes|5
532|what is telephone number university kentucky|4
533|who invented baseball|3
534|how many wives did brigham young have|4
535|what product market is good hiding facial scars|1
536|how long is coney island boardwalk|4
537|what city gained renown its pea soup fogs|5
538|what does janelle mean|0
539|how do get another city 's newspaper|0
540|name movie about sioux indians starring kevin costner|1
541|who was shot back during poker game deadwood dakota territory|3
542|what are distinct physical characterstics arabian horse|0
543|what is fear thunder|1
544|what animal has killed most people|1
545|how many colleges are wyoming|4
546|what russian seaport has name meaning lord east|5
547|where can stocks be traded line|5
548|when was battle hastings|4
549|what kind file has extension .dbf|1
550|when did muhammad live|4
551|what then derogatory term was applied painters monet sisley pissarro renoir degas|1
552|what is wop|0
553|where do rocks come|0
554|how do stop background noise car stereo|0
555|where do people mountain climb nepal|5
556|what is best college country|3
557|what is viscosity|0
558|what was name sitcom alyssa milano starred tony danza|1
559|what are nordic nations|5
560|where internet can get information about fifth amendment american bill rights|5
561|what u.s. state borders illinois north|5
562|name film jude law acted|1
563|what is temperature baking peachy oat muffins|4
564|what is fear bees|1
565|what vladimir nabokov novel features professor humbert love 12 year old girl|1
566|what is green bog|0
567|where did myth santa claus originate|5
568|what does chairbound basophobic fear|1
569|what city is served logan international airport|5
570|what wrestling star became incredible hulk|3
571|what attracts tourists reims|5
572|what game do steve mcqueen edward g. robinson play cincinnati kid|1
573|what fastener did whitcomb judson patent 1893|1
574|what 's auberge france|0
575|who was star 1965 broadway hit golden boy|3
576|where is procter gamble based u.s.|5
577|what army was founded william booth his wife catherine|3
578|what does ribavirin consist|1
579|name soft drink is number one sun|1
580|what is web address list mail addresses members house representatives|5
581|what was her real name|3
582|why are ears your center balance|0
583|who invented toothbrush|3
584|what was name popular song creeps sang|1
585|where is abominable snowman said wander|5
586|what is fear being alone|1
587|how many dots make up symbol because|4
588|what do you get adding lactobacillus bulgaricus milk|1
589|when reading classified ads what does eenty other stand|2
590|how many hearts does octopus have|4
591|what plant has largest seed|1
592|what was only country you were allowed drive into israel 1979|5
593|what 's approaching when cyclist shouts oil|1
594|what baseball star turned down 000 year contract because he felt he had 't earned it|3
595|what kind sport is often associated hooligans|1
596|what video game hero do some his fans call chomper|3
597|how many holes are there tenpin bowling ball|4
598|what is longest word english language|1
599|what city or state do most gay men live|5
600|what tv comediennes 's characters include former movie star nora desmond secretary mrs. wiggins housewife named eunice|3
601|what is bear beers|1
602|name operating system runs ibm compatible machines|1
603|what does name justin mean|0
604|what percentage body is muscle|4
605|what color dry wine should be served veal roasts chops|1
606|what is golf ball made|1
607|what is amish religion|0
608|what does average daycare provider get paid new england|4
609|what was name 187s irish terrorist group pennsylvania mining areas|3
610|who played ringo kid 1939 film stagecoach|3
611|who died feet where john f. kennedy did|3
612|what is coppertop battery|0
613|what sign is water carrier zodiacal symbol|1
614|what animals do you find stock market|1
615|what is color|0
616|when is site www.questions.com going open|4
617|what did shostakovich write rostropovich|1
618|what first name was nipsy russell given at birth|3
619|how can get some free technical information electric vehicle|0
620|who is youngest beatles|3
621|how did shipyard inspector james j. kilroy designate equipment as being satisfactory|0
622|what is jellicle cat|0
623|where can find best free evidence debate about russia|5
624|what is bill gates microsoft mail address|5
625|what is second hardest substance|1
626|why did several san diego schools stop serving apples students|0
627|what russian city boasts hermitage museum|5
628|when is bastille day|4
629|what makes tornado turn|0
630|how many shots can stock m16 hold|4
631|what two colors are you blind if you suffer protanopia|1
632|why do 't you guys have some sort contest where you ask question whoever finds answers wins prize|0
633|who is coronado|3
634|what was name movie starred sharon stone arnold schwarzenegger|1
635|what is artificial intelligence|0
636|what do flatfish eat|1
637|who was first holy roman emperor|3
638|what can use remove stubborn gummed labels some diskettes|1
639|what day week sees most fatal car accidents|4
640|what is origin word magic|0
641|what sport do you shag flies|1
642|what is white chocolate|0
643|where is trinidad|5
644|name organization is presided security council|3
645|who graced airwaves such pearls as do ya lo ove me get naked baby|3
646|what kind wine is spumante|1
647|who portrayed portly criminologist carl hyatt checkmate|3
648|how do you say love you spanish|1
649|what does name gina mean|0
650|what is most advanced handheld calculator world|1
651|how fast is light|4
652|what is belt low pressure around equator called|1
653|what are shooting stars|0
654|whom did chicago bulls beat 1993 championship|3
655|when was first american encyclopedia published|4
656|what 's tallest building new york city|5
657|how is easter sunday 's date determined|0
658|what is motto state maryland|0
659|who is desmond tutu|3
660|where can find information narragansett indians other tribes rhode island|5
661|name tiger is extinct|1
662|how many quarters equal pound|4
663|what kind books does fodor 's publish|1
664|what are first names rowan martin stars tv 's laugh|3
665|what chapter bible has most verses|4
666|who is worst us president ever|3
667|what asian leader was known as little brown saint|3
668|what is abbreviated expression national bureau investigation|2
669|how fast does fastest car go|4
670|what is highest mountain world|5
671|what arch can you see place de la concorde|5
672|who sings song drink me thine eyes ben johnson|3
673|how long should person wash their hands before they are clean|4
674|way do you turn your bic increase flame clockwise or counterclockwise|5
675|is wealthiest country world|5
676|how can find phone number someone if only know their email address|0
677|how can you contact play producers promoters line|0
678|who is monarch united kingdom|3
679|what is fear passing high objects|1
680|what do players try do when music stops game musical chairs|0
681|what are top ten most common girl names us|3
682|why is black color mourning west|0
683|what is rarest coin|1
684|what judith rossner novel was made into film starring diane keaton|1
685|country is australia 's largest export market|5
686|where is kentucky horse park located|5
687|what is fear parasites|1
688|what olympic games did nadia comaneci become popular|1
689|who does data collection tourism|3
690|what was name daughter virginia chief powhatan married john rolfe|3
691|what is leading pecan peanut growing state|5
692|what does nihilist believe|0
693|what did richard feynman say upon hearing he would receive nobel prize physics|0
694|what sport are these following numbers relevant 118 126 134 142 15 158 167 177 19|1
695|who were four famous founders united artists|3
696|what statues did france give other countries|1
697|what are amphibians|0
698|how many sperm cells are average ejaculation|4
699|name disposable razor costs about 19 cents|1
700|how far do you have run if you hit home run|4
701|who was only u.s. president wear nazi uniform|3
702|woodrow wilson served as president what university|3
703|where are tropical rain forest distributions|5
704|what 's nickname oddsmaker jimmy snyder|3
705|what is fear being loved|1
706|what was number people randy steven craft was convicted killing|4
707|what was queen victoria 's title regarding india|3
708|how is hydrogen bomb different nuclear bomb|0
709|how far can man travel outer space|4
710|where was lincoln assassinated|5
711|what type food makes you fat|1
712|what is name chronic neurological autoimmune disease attacks protein sheath surrounds nerve cells causing gradual loss movement body|1
713|what was u.s. highway death toll 1969|4
714|what kind animals are dorsets lincolns oxfords southdowns|1
715|what are shortest longest songs ever produced|1
716|what letter is right typewriter keyboard|1
717|what is origin meaning name hajo|0
718|what is plural gulf|1
719|whose autobiography is titled yes can|3
720|what year did united states pass copyright law|4
721|what percentage americans own their homes|4
722|what 's first day week|4
723|what city was president william mckinley shot|5
724|what city has world 's longest subway system|5
725|who claimed he killed 280 buffalo as food crew building kansas pacific railway|3
726|what is bombay duck|0
727|how many degrees cooler is inside cucumber than air outside|4
728|what double talking professor holds doctorate nothing|3
729|what are five most expensive cities world|5
730|what 19th century writer had country estate hudson dubbed sunnyside|3
731|how many layers yellow paint is faber mongol pencil lucky enough be sprayed|4
732|what is virtual ip address|0
733|what was name cook rawhide|3
734|what county is chicago|5
735|what is wingspan condor|4
736|what facial feature typically contains about 55 hairs|0
737|who was named admiral ocean seas viceroy governor general all islands he might discover also granted 10 all profits his voyage|3
738|how can transport files one computer another|0
739|what 's literary term play words|1
740|what color were their horses|1
741|what does average daycare provider get paid new england|4
742|what author landed 468 pound marlin without harness early 193 's|3
743|how many americans fought british american revolution|4
744|what kind education do need become flight attendant|1
745|what are two languages malta|1
746|how many oceans are there name them|4
747|what happened during blackhawk indian war 1832|0
748|how many pairs legs does lobster have|4
749|what does latin ante mortem mean|0
750|what does name shawn mean|0
751|where is danube|5
752|what lawyer won largest divorce settlement 85 million u.s. history sheika dena al farri|3
753|what do you call group geese|1
754|who delivered his last newscast march 1981|3
755|how many times has louie louie been recorded|4
756|how is answers.com different knowpost.com|0
757|what is longest place name u.s.|5
758|what percent liked thatcher after she had been power decade|4
759|where does buzz aldrin want build permanent manned space station|5
760|what was mel gibson 's first movie|1
761|why was l.a. office shea gould closed|0
762|how do start bank|0
763|how do ouija boards work|0
764|what horse did zorro ride|1
765|how do you get broken cork out bottle|0
766|where can find correct tabs third eye blind songs|5
767|how do you determine heating requirements your home|0
768|what former major league left handed baseball pitcher was known as space man|3
769|hair care product told us hate gray wash it away|1
770|why did chicken cross road|0
771|what was michelangelo 's last name|3
772|who is barbara jordan|3
773|who was democratic nominee american presidential election|3
774|what was connecticut 's first constitution called|1
775|what historical event happened dogtown 1899|1
776|what is being done about millennium bug|0
777|what was claim fame king camp gillette|0
778|what is most common kind skin cancer u.s.|1
779|what is olestra|0
780|what asian country has bill rights cows|5
781|how many fingers are used draw bow|4
782|what are two plants clothes are made|1
783|when was hurricane hugo|4
784|what is most heavily caffeinated soft drink|1
785|what president be was first member congress enlist following attack pearl harbor|3
786|what was price varian associates vacuum products division|4
787|when was great depression|4
788|what language is mostly spoken brazil|1
789|what college produced most winning super bowl quarterbacks|3
790|how do you solve rubik 's cube|0
791|what is prepared mustard|0
792|what classical spanish writer warned all glitters is not gold|3
793|what does antidisestablishmentarianism mean|0
794|what actor married john f. kennedy 's sister|3
795|what does topophobic actor suffer|1
796|who fired maria ybarra her position san diego council|3
797|italian artist maurizio pellegrin is how old|4
798|what type hunting are retrievers used|1
799|what is colin powell best known|0
800|who was first black golfer tee off masters|3
801|what city is setting puccini 's opera la boheme|5
802|what u.s. president showed fondness munching bee pollen bars|3
803|what is measured curies|0
804|whose cover is employee universal import export|3
805|what former president 's daughter has written book titled murder white house|3
806|what fictional character is known as melancholy dane|3
807|italy is largest producer what|1
808|what longtime game show host dropped dead while jogging central park 1984|3
809|what is meaning w.b. yeat 's poem three hermits|0
810|who were filthiest people alive|3
811|what infectious disease is world 's deadliest|1
812|what is spumante|0
